"ancestor_concept_id","descendant_concept_id","min_levels_of_separation","max_levels_of_separation"
9202,581477,1,1
31821,4192640,2,2
31821,4340494,4,4
31821,4337316,3,3
31821,4147231,3,3
31821,4185268,3,4
31821,36715932,3,3
31821,4026158,4,5
31821,4340962,3,4
31821,763030,4,4
31821,36675120,3,3
31821,4340961,4,4
31821,4192249,3,4
31821,4241838,3,3
31821,4340493,4,5
31821,4125494,3,3
31821,4341763,4,4
31821,44806251,4,4
31821,195596,3,3
31821,35624505,4,4
31821,196628,3,4
31821,4124691,3,3
31821,4243504,3,3
31821,4088042,3,4
31821,36716715,3,4
31821,4102255,4,4
31821,4121819,4,4
31821,4262937,3,3
31821,40490446,2,3
31821,36716513,3,3
31821,4342866,4,4
31821,4082334,4,4
31821,4340496,4,4
31821,45757494,4,4
31821,4309439,2,3
31821,46274136,4,4
31821,4341764,4,4
31821,4341765,3,5
31821,4026157,4,4
31821,4303234,4,4
31821,37110323,5,5
31821,4341073,4,4
31821,4340960,4,4
31821,3654680,3,4
31821,4340963,4,4
31821,40483827,3,3
31821,199074,3,3
31821,4340964,4,5
31821,36716714,4,4
31821,4319446,3,3
75865,37395521,9,9
75865,761083,3,4
75865,44809061,6,6
75865,36716182,4,6
75865,37395520,9,9
75865,37395518,8,8
75865,3661748,6,6
75865,37395517,8,8
75865,44809062,6,6
75865,37395514,8,8
75865,37395519,9,9
75865,36716183,4,6
75865,44809063,6,6
75865,36716312,6,6
75865,37395516,8,8
134057,36716182,4,5
137829,4211348,2,2
192359,37395521,5,5
192359,36716182,2,2
192359,44809061,2,2
192359,3661748,2,2
192359,37395517,4,4
192359,37395518,4,4
192359,37395520,5,5
192359,44809062,2,2
192359,44809063,2,2
192359,37395519,5,5
192359,37395514,4,4
192359,36716183,2,2
192359,36716312,2,2
192359,37395516,4,4
192963,4337316,2,2
192963,4340494,3,3
192963,4192249,2,3
192963,4340962,3,3
192963,4185268,2,3
192963,763030,3,3
192963,4340961,3,3
192963,36715932,2,2
192963,4340493,3,4
192963,4147231,2,2
192963,4192640,1,1
192963,4241838,2,2
192963,4026158,4,4
192963,36675120,2,2
192963,4121819,3,3
192963,196628,3,3
192963,4341763,3,3
192963,4243504,2,2
192963,4124691,2,2
192963,44806251,3,3
192963,36716715,3,3
192963,195596,2,2
192963,4125494,2,2
192963,4088042,3,3
192963,4102255,3,3
192963,35624505,3,3
192963,4340496,3,3
192963,4082334,3,3
192963,40490446,2,2
192963,45757494,3,3
192963,4262937,2,2
192963,4342866,3,3
192963,4309439,2,2
192963,36716513,2,2
192963,3654680,3,3
192963,4026157,3,3
192963,36716714,3,3
192963,4341073,3,3
192963,4340960,3,3
192963,37110323,4,4
192963,46274136,3,3
192963,199074,2,2
192963,4340964,3,4
192963,40483827,2,2
192963,4319446,2,2
192963,4341765,3,4
192963,4341764,3,3
192963,4340963,3,3
192963,4303234,3,3
193631,761083,3,3
194526,761083,4,4
195596,4192249,1,1
195596,4341074,1,1
195596,4121819,1,1
195596,35624505,1,1
195596,4102255,1,1
195596,195596,0,0
195596,45757494,1,1
195596,4342866,1,1
195596,4340496,1,1
195596,4341073,1,1
195596,36716714,1,1
195596,4340963,1,1
195596,4340964,2,2
195596,3654680,1,1
195596,37110323,2,2
195856,36675120,1,1
196628,196628,0,0
197320,44809061,1,1
197320,37395521,4,4
197320,36716182,1,1
197320,37395520,4,4
197320,37395518,3,3
197320,3661748,1,1
197320,44809062,1,1
197320,37395517,3,3
197320,37395519,4,4
197320,36716183,1,1
197320,37395514,3,3
197320,44809063,1,1
197320,36716312,1,1
197320,37395516,3,3
197329,37395521,3,3
197329,37395517,2,2
197329,37395520,3,3
197329,37395518,2,2
197329,37395514,2,2
197329,37395519,3,3
197329,37395516,2,2
197917,36675120,2,2
197917,763030,4,4
198124,44809061,4,4
198124,36716182,2,4
198124,37395521,7,7
198124,761083,2,2
198124,44809062,4,4
198124,37395518,6,6
198124,3661748,4,4
198124,37395520,7,7
198124,37395517,6,6
198124,44809063,4,4
198124,37395519,7,7
198124,36716183,2,4
198124,37395514,6,6
198124,37395516,6,6
198124,36716312,4,4
199074,4185268,1,1
199074,4340493,2,2
199074,763030,1,1
199074,4342865,1,1
199074,4026158,2,2
199074,4340494,1,1
199074,4340961,1,1
199074,4341763,1,1
199074,44806251,1,1
199074,4082334,1,1
199074,4341764,1,1
199074,4340960,1,1
199074,46274136,1,1
199074,4340495,1,1
199074,4303234,1,1
199074,4026157,1,1
199074,4341765,2,2
199074,199074,0,0
200174,4262809,4,5
200588,761083,3,3
253549,4262937,2,2
253549,4262809,3,3
254061,3655446,3,3
316139,36716182,2,2
317248,4211348,4,4
320136,3655446,6,6
321588,36716182,3,4
376208,4262809,5,6
376208,4262937,2,2
432250,4340962,3,5
432250,4026158,3,5
432250,3661748,5,5
432250,196628,3,6
432250,4088042,2,4
432250,4309439,3,3
432250,4341765,3,4
432250,3654680,2,4
432250,4341764,2,2
432545,4026158,2,2
432795,761083,6,7
432795,36716182,3,3
432795,4262809,4,6
432795,36716183,3,3
432795,4303234,3,3
432870,4125494,2,2
432870,4211348,4,4
432881,4125494,1,1
432881,4211348,3,3
434008,4125494,3,3
434008,4211348,5,5
434621,36716715,3,3
434621,40490446,2,2
435224,4125494,2,2
435224,4211348,4,4
435463,4340962,3,3
437312,4185268,3,3
439676,3661748,2,2
439777,4211348,2,4
440029,4340962,2,4
440029,196628,2,5
440029,3661748,4,4
440029,4341765,2,2
440032,4340962,1,1
440059,4124691,1,1
440059,4026157,2,2
440142,36716182,4,5
440371,4125494,4,4
440371,36716715,4,4
440371,40490446,3,3
440371,4211348,6,6
440635,4340962,2,2
440921,761083,5,6
441840,4340961,3,11
441840,3655446,9,11
441840,4147231,6,10
441840,4337316,6,10
441840,4241838,6,10
441840,4192249,5,11
441840,4026158,5,12
441840,4192640,5,9
441840,36716182,5,13
441840,763030,5,11
441840,37395521,9,16
441840,4340493,4,12
441840,4340962,5,11
441840,36675120,6,10
441840,761083,5,11
441840,4340494,5,11
441840,4185268,4,11
441840,44809061,6,13
441840,36715932,4,10
441840,4088042,4,11
441840,37395518,8,15
441840,37395520,9,16
441840,4125494,5,10
441840,4102255,4,11
441840,44806251,5,11
441840,3661748,6,13
441840,4124691,4,10
441840,37395517,8,15
441840,4243504,6,10
441840,4341763,5,11
441840,196628,5,11
441840,35624505,5,11
441840,44809062,6,13
441840,195596,4,10
441840,36716715,6,11
441840,4121819,5,11
441840,4082334,5,11
441840,4342866,5,11
441840,36716183,5,13
441840,36716513,6,10
441840,4262809,6,10
441840,45757494,5,11
441840,4262937,5,10
441840,4309439,5,10
441840,44809063,6,13
441840,37395519,9,16
441840,4340496,5,11
441840,37395514,8,15
441840,40490446,5,10
441840,37395516,8,15
441840,4211348,5,12
441840,4341765,5,12
441840,46274136,5,11
441840,4341764,4,11
441840,4340960,5,11
441840,4340963,5,11
441840,199074,4,10
441840,4026157,5,11
441840,36716312,6,13
441840,4340964,4,12
441840,4319446,6,10
441840,40483827,4,10
441840,3654680,4,11
441840,37110323,5,12
441840,4303234,5,11
441840,36716714,5,11
441840,4341073,3,11
442310,36716182,1,1
443723,4125494,4,4
443723,4211348,3,6
443783,36715932,2,2
443783,4192249,3,3
443783,195596,2,2
443783,4102255,3,3
443783,4124691,2,2
443783,35624505,3,3
443783,4121819,3,3
443783,4342866,3,3
443783,4340496,3,3
443783,45757494,3,3
443783,36716714,3,3
443783,3654680,2,3
443783,4340964,4,4
443783,37110323,4,4
443783,4340963,3,3
443783,4341073,3,3
443783,4026157,3,3
443792,763030,2,2
443883,4340493,4,4
443883,4340494,3,3
443883,4185268,3,3
443883,37395521,8,8
443883,4026158,3,4
443883,761083,3,3
443883,763030,3,3
443883,4340961,3,3
443883,44809061,5,5
443883,36716182,4,5
443883,36715932,2,2
443883,4341763,3,3
443883,44809062,5,5
443883,37395520,8,8
443883,37395517,7,7
443883,44806251,3,3
443883,37395518,7,7
443883,3661748,5,5
443883,44809063,5,5
443883,37395514,7,7
443883,37395519,8,8
443883,4082334,3,3
443883,36716183,5,5
443883,4341765,3,4
443883,4340960,3,3
443883,4026157,3,3
443883,46274136,3,3
443883,4341764,2,3
443883,36716312,5,5
443883,199074,2,2
443883,4303234,3,3
443883,37395516,7,7
444089,4340961,5,5
444089,4026158,4,6
444089,4147231,4,4
444089,4192249,4,5
444089,4340493,5,6
444089,4340962,3,5
444089,36716182,4,6
444089,763030,5,5
444089,4241838,4,4
444089,761083,4,4
444089,4337316,4,4
444089,44809061,6,6
444089,36675120,3,4
444089,37395521,9,9
444089,36715932,4,4
444089,4340494,5,5
444089,4185268,4,5
444089,4192640,3,3
444089,3661748,6,6
444089,4121819,5,5
444089,4243504,4,4
444089,36716715,5,5
444089,37395520,9,9
