"concept_id_1","concept_id_2","relationship_id","valid_start_date","valid_end_date","invalid_reason"
761083,761083,"Mapped from","2018-01-31","2099-12-31",
761083,761083,"Maps to","2018-01-31","2099-12-31",
763030,763030,"Mapped from","2018-01-31","2099-12-31",
763030,763030,"Maps to","2018-01-31","2099-12-31",
4026158,4026158,"Mapped from","1970-01-01","2099-12-31",
4026158,4026158,"Maps to","1970-01-01","2099-12-31",
4147231,4147231,"Mapped from","1970-01-01","2099-12-31",
4147231,4147231,"Maps to","1970-01-01","2099-12-31",
4147231,4192640,"Is a","2011-07-31","2099-12-31",
4185268,4185268,"Mapped from","1970-01-01","2099-12-31",
4185268,4185268,"Maps to","1970-01-01","2099-12-31",
4192249,4192249,"Mapped from","1970-01-01","2099-12-31",
4192249,4192249,"Maps to","1970-01-01","2099-12-31",
4192640,4147231,"Subsumes","2011-07-31","2099-12-31",
4192640,4192640,"Mapped from","1970-01-01","2099-12-31",
4192640,4192640,"Maps to","1970-01-01","2099-12-31",
4192640,4241838,"Subsumes","2011-07-31","2099-12-31",
4192640,4337316,"Subsumes","2011-07-31","2099-12-31",
4192640,36675120,"Subsumes","2019-01-31","2099-12-31",
4192640,36715932,"Subsumes","2017-01-31","2099-12-31",
4241838,4192640,"Is a","2011-07-31","2099-12-31",
4241838,4241838,"Mapped from","1970-01-01","2099-12-31",
4241838,4241838,"Maps to","1970-01-01","2099-12-31",
4337316,4192640,"Is a","2011-07-31","2099-12-31",
4337316,4337316,"Mapped from","1970-01-01","2099-12-31",
4337316,4337316,"Maps to","1970-01-01","2099-12-31",
4340493,4340493,"Mapped from","1970-01-01","2099-12-31",
4340493,4340493,"Maps to","1970-01-01","2099-12-31",
4340493,4340961,"Is a","2011-07-31","2099-12-31",
4340494,4340494,"Mapped from","1970-01-01","2099-12-31",
4340494,4340494,"Maps to","1970-01-01","2099-12-31",
4340961,4340493,"Subsumes","2011-07-31","2099-12-31",
4340961,4340961,"Mapped from","1970-01-01","2099-12-31",
4340961,4340961,"Maps to","1970-01-01","2099-12-31",
4340962,4340962,"Mapped from","1970-01-01","2099-12-31",
4340962,4340962,"Maps to","1970-01-01","2099-12-31",
36675120,4192640,"Is a","2019-01-31","2099-12-31",
36675120,36675120,"Mapped from","2019-01-31","2099-12-31",
36675120,36675120,"Maps to","2019-01-31","2099-12-31",
36715932,4192640,"Is a","2017-01-31","2099-12-31",
36715932,36715932,"Mapped from","2017-01-31","2099-12-31",
36715932,36715932,"Maps to","2017-01-31","2099-12-31",
36716182,36716182,"Mapped from","2017-01-31","2099-12-31",
36716182,36716182,"Maps to","2017-01-31","2099-12-31",
37395521,37395521,"Mapped from","2016-07-31","2099-12-31",
37395521,37395521,"Maps to","2016-07-31","2099-12-31",
44809061,44809061,"Mapped from","2014-04-01","2099-12-31",
44809061,44809061,"Maps to","2014-04-01","2099-12-31",
3655446,4192640,"Has due to","2020-07-31","2099-12-31",
4192640,3655446,"Due to of","2020-07-31","2099-12-31",
3655446,3655446,"Maps to","2020-07-31","2099-12-31",
3655446,3655446,"Mapped from","2020-07-31","2099-12-31",
195596,4192249,"Subsumes","2011-07-31","2099-12-31",
195596,4192640,"Is a","2011-07-31","2099-12-31",
4088042,4026158,"Subsumes","2011-07-31","2099-12-31",
4124691,4192640,"Is a","2011-07-31","2099-12-31",
4125494,4192640,"Is a","2011-07-31","2099-12-31",
4243504,4192640,"Is a","2011-07-31","2099-12-31",
45456863,4340961,"Maps to","2014-04-01","2099-12-31",
45480386,4026158,"Maps to","1970-01-01","2099-12-31",
45513544,4340493,"Maps to","2014-04-01","2099-12-31",
4262809,4192640,"Finding asso with","2011-07-31","2099-12-31",
4262937,4192640,"Is a","2011-07-31","2099-12-31",
4309439,4192640,"Is a","2011-07-31","2099-12-31",
4309439,4340962,"Subsumes","2019-01-31","2099-12-31",
36716513,4192640,"Is a","2017-01-31","2099-12-31",
40490446,4192640,"Is a","2011-07-31","2099-12-31",
44791268,45454858,"Mapped from","2014-04-01","2099-12-31",
44809063,45490311,"Mapped from","2014-04-01","2099-12-31",
45420481,4192640,"Maps to","1970-01-01","2099-12-31",
199074,763030,"Subsumes","2018-01-31","2099-12-31",
199074,4185268,"Subsumes","2011-07-31","2099-12-31",
199074,4192640,"Is a","2011-07-31","2099-12-31",
199074,4340494,"Subsumes","2011-07-31","2099-12-31",
199074,4340961,"Subsumes","2011-07-31","2099-12-31",
199074,45490300,"Mapped from","1970-01-01","2099-12-31",
199074,45510153,"Mapped from","2014-04-01","2099-12-31",
4211348,4192640,"Finding asso with","2011-07-31","2099-12-31",
4319446,4192640,"Is a","2011-07-31","2099-12-31",
4341764,4026158,"Subsumes","2011-07-31","2099-12-31",
37395516,37395521,"Subsumes","2016-07-31","2099-12-31",
40483827,4192640,"Is a","2011-07-31","2099-12-31",
40483827,4340493,"Subsumes","2011-07-31","2099-12-31",
45436882,44809061,"Maps to","2014-04-01","2099-12-31",
45493578,4185268,"Maps to","1970-01-01","2099-12-31",
4026158,4088042,"Is a","2011-07-31","2099-12-31",
4026158,45480386,"Mapped from","1970-01-01","2099-12-31",
4192249,195596,"Is a","2011-07-31","2099-12-31",
4192640,195596,"Subsumes","2011-07-31","2099-12-31",
4192640,4124691,"Subsumes","2011-07-31","2099-12-31",
4192640,4125494,"Subsumes","2011-07-31","2099-12-31",
4192640,4243504,"Subsumes","2011-07-31","2099-12-31",
4340493,45513544,"Mapped from","2014-04-01","2099-12-31",
4340961,45456863,"Mapped from","2014-04-01","2099-12-31",
195596,195596,"Mapped from","1970-01-01","2099-12-31",
195596,195596,"Maps to","1970-01-01","2099-12-31",
195596,4102255,"Subsumes","2011-07-31","2099-12-31",
195596,4121819,"Subsumes","2011-07-31","2099-12-31",
195596,35624505,"Subsumes","2018-07-31","2099-12-31",
195596,45483661,"Mapped from","2015-09-17","2099-12-31",
196628,196628,"Mapped from","1970-01-01","2099-12-31",
196628,196628,"Maps to","1970-01-01","2099-12-31",
4088042,4088042,"Mapped from","1970-01-01","2099-12-31",
4088042,4088042,"Maps to","1970-01-01","2099-12-31",
4102255,195596,"Is a","2011-07-31","2099-12-31",
4102255,4102255,"Mapped from","1970-01-01","2099-12-31",
4102255,4102255,"Maps to","1970-01-01","2099-12-31",
4121819,195596,"Is a","2011-07-31","2099-12-31",
4121819,4121819,"Mapped from","1970-01-01","2099-12-31",
4121819,4121819,"Maps to","1970-01-01","2099-12-31",
4124691,4124691,"Mapped from","1970-01-01","2099-12-31",
4124691,4124691,"Maps to","1970-01-01","2099-12-31",
4125494,4125494,"Mapped from","1970-01-01","2099-12-31",
4125494,4125494,"Maps to","1970-01-01","2099-12-31",
4243504,4243504,"Mapped from","1970-01-01","2099-12-31",
4243504,4243504,"Maps to","1970-01-01","2099-12-31",
4341763,4341763,"Mapped from","1970-01-01","2099-12-31",
4341763,4341763,"Maps to","1970-01-01","2099-12-31",
35624505,195596,"Is a","2018-07-31","2099-12-31",
35624505,35624505,"Mapped from","2018-07-31","2099-12-31",
35624505,35624505,"Maps to","2018-07-31","2099-12-31",
36716715,36716715,"Mapped from","2017-01-31","2099-12-31",
36716715,36716715,"Maps to","2017-01-31","2099-12-31",
37395517,37395517,"Mapped from","2016-07-31","2099-12-31",
37395517,37395517,"Maps to","2016-07-31","2099-12-31",
37395517,37395520,"Subsumes","2016-07-31","2099-12-31",
37395518,37395518,"Mapped from","2016-07-31","2099-12-31",
37395518,37395518,"Maps to","2016-07-31","2099-12-31",
37395520,37395517,"Is a","2016-07-31","2099-12-31",
37395520,37395520,"Mapped from","2016-07-31","2099-12-31",
37395520,37395520,"Maps to","2016-07-31","2099-12-31",
44806251,44806251,"Mapped from","2014-04-01","2099-12-31",
44806251,44806251,"Maps to","2014-04-01","2099-12-31",
44806251,45490301,"Mapped from","2014-04-01","2099-12-31",
44809062,44809062,"Mapped from","2014-04-01","2099-12-31",
44809062,44809062,"Maps to","2014-04-01","2099-12-31",
45483661,195596,"Maps to","2015-09-17","2099-12-31",
45490301,44806251,"Maps to","2014-04-01","2099-12-31",
3661748,3661748,"Maps to","2020-07-31","2099-12-31",
3661748,3661748,"Mapped from","2020-07-31","2099-12-31",
4309439,196628,"Subsumes","2011-07-31","2099-12-31",
4309439,4088042,"Subsumes","2011-07-31","2099-12-31",
4340496,195596,"Is a","2011-07-31","2099-12-31",
4342866,195596,"Is a","2011-07-31","2099-12-31",
40490446,36716715,"Subsumes","2017-01-31","2099-12-31",
45420480,4341763,"Maps to","1970-01-01","2099-12-31",
45496860,44809062,"Maps to","2014-04-01","2099-12-31",
45757494,195596,"Is a","2018-07-31","2099-12-31",
199074,4341763,"Subsumes","2011-07-31","2099-12-31",
199074,44806251,"Subsumes","2015-03-01","2099-12-31",
199074,45467011,"Mapped from","2014-04-01","2099-12-31",
199074,45516954,"Mapped from","2014-04-01","2099-12-31",
4026157,4124691,"Is a","2011-07-31","2099-12-31",
4319446,4341763,"Subsumes","2011-07-31","2099-12-31",
4340963,195596,"Is a","2011-07-31","2099-12-31",
4341073,195596,"Is a","2011-07-31","2099-12-31",
36716714,195596,"Is a","2017-01-31","2099-12-31",
37110323,4102255,"Is a","2017-07-31","2099-12-31",
44790985,45521580,"Mapped from","2014-04-01","2099-12-31",
45493579,4243504,"Maps to","1970-01-01","2099-12-31",
45493580,195596,"Maps to","1970-01-01","2099-12-31",
45509644,196628,"Maps to","1970-01-01","2099-12-31",
3654680,195596,"Is a","2020-07-31","2099-12-31",
4192640,4262809,"Asso with finding","2011-07-31","2099-12-31",
4192640,4262937,"Subsumes","2011-07-31","2099-12-31",
4192640,4309439,"Subsumes","2011-07-31","2099-12-31",
4192640,36716513,"Subsumes","2017-01-31","2099-12-31",
4192640,40490446,"Subsumes","2011-07-31","2099-12-31",
4192640,45420481,"Mapped from","1970-01-01","2099-12-31",
4340962,4309439,"Is a","2019-01-31","2099-12-31",
45454858,44791268,"Maps to","2014-04-01","2099-12-31",
45490311,44809063,"Maps to","2014-04-01","2099-12-31",
195596,4340496,"Subsumes","2011-07-31","2099-12-31",
195596,4342866,"Subsumes","2011-07-31","2099-12-31",
195596,45757494,"Subsumes","2018-07-31","2099-12-31",
196628,4309439,"Is a","2011-07-31","2099-12-31",
4088042,4309439,"Is a","2011-07-31","2099-12-31",
4341763,45420480,"Mapped from","1970-01-01","2099-12-31",
36716715,40490446,"Is a","2017-01-31","2099-12-31",
44809062,45496860,"Mapped from","2014-04-01","2099-12-31",
4082334,4082334,"Mapped from","1970-01-01","2099-12-31",
4082334,4082334,"Maps to","1970-01-01","2099-12-31",
4262809,4262809,"Mapped from","1970-01-01","2099-12-31",
4262809,4262809,"Maps to","1970-01-01","2099-12-31",
4262937,4262937,"Mapped from","1970-01-01","2099-12-31",
4262937,4262937,"Maps to","1970-01-01","2099-12-31",
4309439,4309439,"Mapped from","1970-01-01","2099-12-31",
4309439,4309439,"Maps to","1970-01-01","2099-12-31",
4340496,4340496,"Mapped from","1970-01-01","2099-12-31",
4340496,4340496,"Maps to","1970-01-01","2099-12-31",
4342866,4342866,"Mapped from","1970-01-01","2099-12-31",
4342866,4342866,"Maps to","1970-01-01","2099-12-31",
36716183,36716183,"Mapped from","2017-01-31","2099-12-31",
36716183,36716183,"Maps to","2017-01-31","2099-12-31",
36716513,36716513,"Mapped from","2017-01-31","2099-12-31",
36716513,36716513,"Maps to","2017-01-31","2099-12-31",
37395514,37395514,"Mapped from","2016-07-31","2099-12-31",
37395514,37395514,"Maps to","2016-07-31","2099-12-31",
37395514,37395519,"Subsumes","2016-07-31","2099-12-31",
37395519,37395514,"Is a","2016-07-31","2099-12-31",
37395519,37395519,"Mapped from","2016-07-31","2099-12-31",
37395519,37395519,"Maps to","2016-07-31","2099-12-31",
40490446,40490446,"Mapped from","2011-07-31","2099-12-31",
40490446,40490446,"Maps to","2011-07-31","2099-12-31",
44791268,44791268,"Mapped from","2014-04-01","2099-12-31",
44791268,44791268,"Maps to","2014-04-01","2099-12-31",
44809063,44809063,"Mapped from","2014-04-01","2099-12-31",
44809063,44809063,"Maps to","2014-04-01","2099-12-31",
45757494,45757494,"Mapped from","2015-01-31","2099-12-31",
45757494,45757494,"Maps to","2015-01-31","2099-12-31",
199074,4082334,"Subsumes","2011-07-31","2099-12-31",
4026157,45493577,"Mapped from","1970-01-01","2099-12-31",
4340960,45423644,"Mapped from","2014-04-01","2099-12-31",
4340964,45467012,"Mapped from","1970-01-01","2099-12-31",
4341765,4309439,"Is a","2011-07-31","2099-12-31",
3654680,4309439,"Is a","2020-07-31","2099-12-31",
763030,199074,"Is a","2018-01-31","2099-12-31",
4026158,4341764,"Is a","2011-07-31","2099-12-31",
4185268,199074,"Is a","2011-07-31","2099-12-31",
4185268,45493578,"Mapped from","1970-01-01","2099-12-31",
4192640,199074,"Subsumes","2011-07-31","2099-12-31",
4192640,4211348,"Asso with finding","2011-07-31","2099-12-31",
4192640,4319446,"Subsumes","2011-07-31","2099-12-31",
4192640,40483827,"Subsumes","2011-07-31","2099-12-31",
4340493,40483827,"Is a","2011-07-31","2099-12-31",
