"cohort_count","person_years","gender","age_group","calendar_year","incidence_rate","cohort_id","database_id"
2630,7501034.893908282,,,,0.35061828630284975,1,"SUBSET_AURUM"
1402,4140936.284736482,"Female",,,0.33857077327361473,1,"SUBSET_AURUM"
1228,3360098.6091718003,"Male",,,0.36546546480749814,1,"SUBSET_AURUM"
0,557503.986310746,,"0-9",,0,1,"SUBSET_AURUM"
47,924791.0554414785,,"10-19",,0.050822290855271145,1,"SUBSET_AURUM"
-5,667.1375770020534,,"100-109",,-7.494705998227125,1,"SUBSET_AURUM"
154,1178245.0841889116,,"20-29",,0.1307028580611576,1,"SUBSET_AURUM"
212,1511563.345653662,,"30-39",,0.14025214398694122,1,"SUBSET_AURUM"
254,1457288.128678987,,"40-49",,0.17429634881486872,1,"SUBSET_AURUM"
339,994007.6331279945,,"50-59",,0.34104365872243586,1,"SUBSET_AURUM"
345,486477.2019164956,,"60-69",,0.7091802013349429,1,"SUBSET_AURUM"
523,251159.26625598906,,"70-79",,2.0823440353060385,1,"SUBSET_AURUM"
585,114625.28952772074,,"80-89",,5.1035858003963845,1,"SUBSET_AURUM"
167,24706.765229295004,,"90-99",,6.759282263385366,1,"SUBSET_AURUM"
0,296223.4688569473,"Female","0-9",,0,1,"SUBSET_AURUM"
33,493785.7193702943,"Female","10-19",,0.06683060830937682,1,"SUBSET_AURUM"
-5,563.937029431896,"Female","100-109",,-8.866238141937488,1,"SUBSET_AURUM"
89,677714.0041067762,"Female","20-29",,0.13132383197142514,1,"SUBSET_AURUM"
131,878282.5872689938,"Female","30-39",,0.14915472753176456,1,"SUBSET_AURUM"
132,801541.7002053388,"Female","40-49",,0.16468263593295804,1,"SUBSET_AURUM"
171,521093.9192334018,"Female","50-59",,0.32815581546521144,1,"SUBSET_AURUM"
162,247980.26283367557,"Female","60-69",,0.6532777977925447,1,"SUBSET_AURUM"
249,135269.73032169745,"Female","70-79",,1.8407665884143487,1,"SUBSET_AURUM"
313,70186.38740588637,"Female","80-89",,4.459554217970042,1,"SUBSET_AURUM"
119,18294.56810403833,"Female","90-99",,6.504662986481327,1,"SUBSET_AURUM"
0,261280.51745379876,"Male","0-9",,0,1,"SUBSET_AURUM"
14,431005.33607118414,"Male","10-19",,0.03248219645635149,1,"SUBSET_AURUM"
-5,103.20054757015743,"Male","100-109",,-48.44935533506659,1,"SUBSET_AURUM"
65,500531.0800821355,"Male","20-29",,0.12986206568697733,1,"SUBSET_AURUM"
81,633280.758384668,"Male","30-39",,0.12790535465913982,1,"SUBSET_AURUM"
122,655746.4284736481,"Male","40-49",,0.18604752493120547,1,"SUBSET_AURUM"
168,472913.7138945927,"Male","50-59",,0.3552445088057763,1,"SUBSET_AURUM"
183,238496.93908282,"Male","60-69",,0.767305445108676,1,"SUBSET_AURUM"
274,115889.53593429158,"Male","70-79",,2.364320452153297,1,"SUBSET_AURUM"
272,44438.90212183436,"Male","80-89",,6.120763273005276,1,"SUBSET_AURUM"
48,6412.197125256674,"Male","90-99",,7.485733682599256,1,"SUBSET_AURUM"
0,-5,,,1917,0,1,"SUBSET_AURUM"
0,-5,,,1918,0,1,"SUBSET_AURUM"
0,-5,,,1919,0,1,"SUBSET_AURUM"
0,-5,,,1920,0,1,"SUBSET_AURUM"
0,-5,,,1921,0,1,"SUBSET_AURUM"
0,-5,,,1922,0,1,"SUBSET_AURUM"
0,-5,,,1923,0,1,"SUBSET_AURUM"
0,-5,,,1924,0,1,"SUBSET_AURUM"
0,5.500342231348392,,,1925,0,1,"SUBSET_AURUM"
0,8.520191649555098,,,1926,0,1,"SUBSET_AURUM"
0,9.760438056125942,,,1927,0,1,"SUBSET_AURUM"
0,15.926078028747433,,,1928,0,1,"SUBSET_AURUM"
0,23.88227241615332,,,1929,0,1,"SUBSET_AURUM"
0,31.61122518822724,,,1930,0,1,"SUBSET_AURUM"
0,37.831622176591374,,,1931,0,1,"SUBSET_AURUM"
0,48.807665982203964,,,1932,0,1,"SUBSET_AURUM"
0,57.544147843942504,,,1933,0,1,"SUBSET_AURUM"
0,67.07186858316221,,,1934,0,1,"SUBSET_AURUM"
0,77.90828199863107,,,1935,0,1,"SUBSET_AURUM"
0,89.47843942505133,,,1936,0,1,"SUBSET_AURUM"
0,100.19712525667352,,,1937,0,1,"SUBSET_AURUM"
0,116.8021902806297,,,1938,0,1,"SUBSET_AURUM"
0,135.10746064339494,,,1939,0,1,"SUBSET_AURUM"
0,155.68240930869268,,,1940,0,1,"SUBSET_AURUM"
0,173.98220396988364,,,1941,0,1,"SUBSET_AURUM"
0,195.04722792607802,,,1942,0,1,"SUBSET_AURUM"
0,220.36139630390144,,,1943,0,1,"SUBSET_AURUM"
0,250.0287474332649,,,1944,0,1,"SUBSET_AURUM"
0,284.4435318275154,,,1945,0,1,"SUBSET_AURUM"
0,323.523613963039,,,1946,0,1,"SUBSET_AURUM"
0,359.1101984941821,,,1947,0,1,"SUBSET_AURUM"
0,728.1204654346338,,,1948,0,1,"SUBSET_AURUM"
0,1173.4866529774126,,,1949,0,1,"SUBSET_AURUM"
0,1306.4366872005476,,,1950,0,1,"SUBSET_AURUM"
0,1446.5434633812458,,,1951,0,1,"SUBSET_AURUM"
0,1602.92128678987,,,1952,0,1,"SUBSET_AURUM"
0,1770.5571526351814,,,1953,0,1,"SUBSET_AURUM"
0,1954.776180698152,,,1954,0,1,"SUBSET_AURUM"
0,2159.958932238193,,,1955,0,1,"SUBSET_AURUM"
0,2393.3388090349076,,,1956,0,1,"SUBSET_AURUM"
0,2644.5968514715946,,,1957,0,1,"SUBSET_AURUM"
0,2945.3990417522245,,,1958,0,1,"SUBSET_AURUM"
0,3284.3613963039015,,,1959,0,1,"SUBSET_AURUM"
0,3675.8822724161532,,,1960,0,1,"SUBSET_AURUM"
0,4103.520876112252,,,1961,0,1,"SUBSET_AURUM"
0,4586.880219028063,,,1962,0,1,"SUBSET_AURUM"
0,5052.208076659822,,,1963,0,1,"SUBSET_AURUM"
0,5615.841204654346,,,1964,0,1,"SUBSET_AURUM"
0,6205.913757700206,,,1965,0,1,"SUBSET_AURUM"
0,6847.92334017796,,,1966,0,1,"SUBSET_AURUM"
0,7587.772758384668,,,1967,0,1,"SUBSET_AURUM"
0,8446.943189596166,,,1968,0,1,"SUBSET_AURUM"
0,9234.858316221766,,,1969,0,1,"SUBSET_AURUM"
0,10119.559206023272,,,1970,0,1,"SUBSET_AURUM"
0,11110.198494182066,,,1971,0,1,"SUBSET_AURUM"
0,12125.24024640657,,,1972,0,1,"SUBSET_AURUM"
0,13050.173853524982,,,1973,0,1,"SUBSET_AURUM"
0,14051.186858316221,,,1974,0,1,"SUBSET_AURUM"
0,15144.177960301164,,,1975,0,1,"SUBSET_AURUM"
0,16361.982203969885,,,1976,0,1,"SUBSET_AURUM"
0,17653.713894592744,,,1977,0,1,"SUBSET_AURUM"
0,19054.762491444217,,,1978,0,1,"SUBSET_AURUM"
0,20572.862422997947,,,1979,0,1,"SUBSET_AURUM"
0,22410.891170431212,,,1980,0,1,"SUBSET_AURUM"
0,23985.908281998632,,,1981,0,1,"SUBSET_AURUM"
0,25817.292265571527,,,1982,0,1,"SUBSET_AURUM"
0,27875.490759753593,,,1983,0,1,"SUBSET_AURUM"
0,30233.09787816564,,,1984,0,1,"SUBSET_AURUM"
0,32981.735797399044,,,1985,0,1,"SUBSET_AURUM"
0,36711.39219712526,,,1986,0,1,"SUBSET_AURUM"
0,41248.11498973306,,,1987,0,1,"SUBSET_AURUM"
0,46659.56741957564,,,1988,0,1,"SUBSET_AURUM"
0,52140.394250513345,,,1989,0,1,"SUBSET_AURUM"
0,58508.15058179329,,,1990,0,1,"SUBSET_AURUM"
0,65840.13963039014,,,1991,0,1,"SUBSET_AURUM"
0,73290.95961670089,,,1992,0,1,"SUBSET_AURUM"
0,80141.7686516085,,,1993,0,1,"SUBSET_AURUM"
0,87748.20807665982,,,1994,0,1,"SUBSET_AURUM"
0,95841.07871321012,,,1995,0,1,"SUBSET_AURUM"
0,104784.94455852156,,,1996,0,1,"SUBSET_AURUM"
0,114039.94798083504,,,1997,0,1,"SUBSET_AURUM"
0,124101.48665297742,,,1998,0,1,"SUBSET_AURUM"
0,134749.51950718687,,,1999,0,1,"SUBSET_AURUM"
0,146367.46064339494,,,2000,0,1,"SUBSET_AURUM"
0,157548.04928131416,,,2001,0,1,"SUBSET_AURUM"
0,170096.0027378508,,,2002,0,1,"SUBSET_AURUM"
0,181946.82546201232,,,2003,0,1,"SUBSET_AURUM"
0,193302.6173853525,,,2004,0,1,"SUBSET_AURUM"
0,203600.64887063656,,,2005,0,1,"SUBSET_AURUM"
0,215059.6605065024,,,2006,0,1,"SUBSET_AURUM"
0,227201.36892539356,,,2007,0,1,"SUBSET_AURUM"
0,239465.4045174538,,,2008,0,1,"SUBSET_AURUM"
-5,250263.45516769338,,,2009,-0.019978945773963135,1,"SUBSET_AURUM"
0,262714.5954825462,,,2010,0,1,"SUBSET_AURUM"
0,276142.62559890485,,,2011,0,1,"SUBSET_AURUM"
0,291699.6468172485,,,2012,0,1,"SUBSET_AURUM"
-5,306521.1909650924,,,2013,-0.01631208590915796,1,"SUBSET_AURUM"
-5,325609.98767967144,,,2014,-0.015355794322006178,1,"SUBSET_AURUM"
28,347006.39835728955,,,2015,0.08069015479988427,1,"SUBSET_AURUM"
121,370903.4551676934,,,2016,0.3262304470722531,1,"SUBSET_AURUM"
158,396039.83299110195,,,2017,0.39894976928633813,1,"SUBSET_AURUM"
229,427281.62902121834,,,2018,0.5359462809683028,1,"SUBSET_AURUM"
870,465945.2457221082,,,2019,1.8671721795373182,1,"SUBSET_AURUM"
1043,482750.2559890486,,,2020,2.1605374353725066,1,"SUBSET_AURUM"
176,47643.29637234771,,,2021,3.694118866681753,1,"SUBSET_AURUM"
0,-5,,"0-9",1917,0,1,"SUBSET_AURUM"
0,-5,,"0-9",1918,0,1,"SUBSET_AURUM"
0,-5,,"0-9",1919,0,1,"SUBSET_AURUM"
0,-5,,"0-9",1920,0,1,"SUBSET_AURUM"
0,-5,,"0-9",1921,0,1,"SUBSET_AURUM"
0,-5,,"0-9",1922,0,1,"SUBSET_AURUM"
0,-5,,"0-9",1923,0,1,"SUBSET_AURUM"
0,-5,,"0-9",1924,0,1,"SUBSET_AURUM"
0,5.500342231348392,,"0-9",1925,0,1,"SUBSET_AURUM"
0,8.520191649555098,,"0-9",1926,0,1,"SUBSET_AURUM"
0,8.761122518822724,,"0-9",1927,0,1,"SUBSET_AURUM"
0,13.921971252566735,,"0-9",1928,0,1,"SUBSET_AURUM"
0,21.883641341546884,,"0-9",1929,0,1,"SUBSET_AURUM"
0,29.61259411362081,,"0-9",1930,0,1,"SUBSET_AURUM"
0,35.832991101984945,,"0-9",1931,0,1,"SUBSET_AURUM"
0,46.803559206023266,,"0-9",1932,0,1,"SUBSET_AURUM"
0,55.545516769336075,,"0-9",1933,0,1,"SUBSET_AURUM"
0,62.07529089664614,,"0-9",1934,0,1,"SUBSET_AURUM"
0,68.91444216290212,,"0-9",1935,0,1,"SUBSET_AURUM"
0,79.45790554414785,,"0-9",1936,0,1,"SUBSET_AURUM"
0,86.20670773442848,,"0-9",1937,0,1,"SUBSET_AURUM"
0,90.59822039698835,,"0-9",1938,0,1,"SUBSET_AURUM"
0,99.37029431895962,,"0-9",1939,0,1,"SUBSET_AURUM"
0,108.58590006844628,,"0-9",1940,0,1,"SUBSET_AURUM"
0,112.53935660506502,,"0-9",1941,0,1,"SUBSET_AURUM"
0,120.41615331964408,,"0-9",1942,0,1,"SUBSET_AURUM"
0,125.23477070499658,,"0-9",1943,0,1,"SUBSET_AURUM"
0,136.3394934976044,,"0-9",1944,0,1,"SUBSET_AURUM"
0,144.51471594798085,,"0-9",1945,0,1,"SUBSET_AURUM"
0,154.63107460643397,,"0-9",1946,0,1,"SUBSET_AURUM"
0,160.67077344284735,,"0-9",1947,0,1,"SUBSET_AURUM"
0,378.5297741273101,,"0-9",1948,0,1,"SUBSET_AURUM"
