"concept_id","concept_count","subject_count","cohort_id","database_id","domain_field","domain_table"
44809062,384,372,1,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45496860,384,372,1,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
44809063,530,508,1,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45490311,530,508,1,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
44809061,1793,1756,1,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45436882,1793,1756,1,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
196628,-5,-5,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
4026158,-5,-5,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
4185268,-5,-5,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45509644,-5,-5,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
45480386,-5,-5,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
45493578,-5,-5,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
4340961,-5,-5,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45456863,-5,-5,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
45483661,-5,-5,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
45516954,-5,-5,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
4243504,-5,-5,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45493579,-5,-5,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
4319446,-5,-5,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
4319446,-5,-5,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
4026157,5,5,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45493577,5,5,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
44806251,6,6,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45490301,6,6,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
45510153,6,6,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
4340960,8,8,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
4340963,8,8,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45423644,8,8,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
45470400,8,8,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
4340493,9,8,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45513544,9,8,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
4340964,29,27,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45467012,29,27,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
45467011,64,56,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
45493580,222,205,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
195596,224,207,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
4341763,299,286,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45420480,299,286,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
4192640,525,505,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
45420481,525,505,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
45490300,1179,1091,2,"SUBSET_AURUM","condition_source_concept_id","condition_occurrence"
199074,1251,1152,2,"SUBSET_AURUM","condition_concept_id","condition_occurrence"
